fullvisitorid,channelgrouping,time,country,city,totaltransactionrevenue,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productrefundamount,productquantity,productprice,productrevenue,productsku,v2productname,v2productcategory,productvariant,currencycode,itemquantity,itemrevenue,transactionrevenue,transactionid,pagetitle,searchkeyword,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option,ts_timeonsite
9.092698926735855e+18,Organic Search,0,Singapore,"",,,59,2,,2016-09-19,1474286395,PAGE,,,16,,GGOEGAAX0106,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's-T-Shirts,,/google+redesign/,0,1,,1969-12-31 19:00:59
3.466867820142874e+18,Referral,16611,Singapore,"",,,17,2,,2016-08-31,1472695901,PAGE,,,16,,GGOEGAAX0105,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Home/Apparel/,(not set),USD,,,,,Apparel,,/google+redesign/,0,1,,1969-12-31 19:00:17
2.3544476472136003e+18,Direct,0,India,"",,,,1,1,2017-07-31,1501495643,PAGE,,,18,,GGOEGAAX0290,YouTube Women's Short Sleeve Hero Tee Charcoal,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,,
2.9129184527642204e+18,Organic Search,207611,Greece,"",,,208,7,,2017-01-05,1483644232,PAGE,,,24,,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Home/Drinkware/,(not set),USD,,,,,Drinkware | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:03:28
8.166337545283469e+18,Organic Search,333424,United States,"",,,419,6,2,2017-07-07,1499414252,PAGE,,,99,,GGOEGBRB013899,Google Laptop Backpack,Home/Bags/Backpacks/,(not set),USD,,,,,Backpacks | Bags | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:06:59
3.198316687812228e+18,Direct,144965,Taiwan,"",,,167,5,1,2017-07-21,1500622154,PAGE,,,74,,GGOEGAAX0573,Google Men's Lightweight Microfleece Jacket Black,Home/Apparel/Men's/,(not set),USD,,,,,Men's Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:02:47
4.816619767178079e+18,Organic Search,0,Hong Kong,"",,,,1,,2017-06-24,1498308204,PAGE,,,4,,GGOEGBMJ013399,Sport Bag,Home/Bags/,(not set),USD,,,,,Bags | Google Merchandise Store,,/google+redesign/,0,1,,
1.5233379132800394e+17,Direct,51983,Singapore,"",,,91,4,,2016-12-03,1480768261,PAGE,,,18,,GGOEGAAX0338,Google Men's Vintage Badge Tee Black,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:01:31
8.781755237312007e+18,Direct,243627,Peru,"",,,511,3,,2017-07-03,1499135188,PAGE,,,0,,9182772,Google Women's Performance Full Zip Jacket Black,(not set),(not set),USD,,,,,Android Wool Heather Cap Heather/Black,,/google+redesign/,0,1,,1969-12-31 19:08:31
5.841624967828951e+18,Direct,0,Taiwan,"",,,6,2,,2016-09-09,1473407135,PAGE,,,12,,GGOEGDWR015799,Red Shine 15 oz Mug,Home/Drinkware/,(not set),USD,,,,,Drinkware,,/google+redesign/,0,1,,1969-12-31 19:00:06
9.790186058823438e+18,Affiliates,30597,Taiwan,"",,,107,9,,2016-08-05,1470392550,PAGE,,,16,,GGOEGEGQ024299,Grip Kit Cable Organizer,Home/Electronics/,(not set),USD,,,,,Electronics,,/google+redesign/,0,1,,1969-12-31 19:01:47
6.893847298961619e+18,Direct,98073,Taiwan,"",,,98,2,,2017-04-20,1492745555,PAGE,,,1,,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,Home/Accessories/,(not set),USD,,,,,Accessories | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:01:38
5.929114619735086e+17,Organic Search,0,India,"",,,41,3,,2016-12-08,1481248331,PAGE,,,18,,GGOEGAAX0734,Google Men's Short Sleeve Hero Tee Heather,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:41
4.512281532939442e+18,Direct,83866,Taiwan,"",,,84,5,,2016-12-15,1481874235,PAGE,,,99,,GGOEGBRB013899,Google Laptop Backpack,Home/Bags/,(not set),USD,,,,,Bags | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:01:24
8.060077014034038e+18,Affiliates,124857,Taiwan,"",,,208,8,,2017-04-14,1492185744,PAGE,,,12,,GGOEADWQ015699,Android Rise 14 oz Mug,Home/Drinkware/,(not set),USD,,,,,Drinkware | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:03:28
