productsku,total_ordered,up_total_ordered
GGOEGOAQ012899,456,38
GGOEGDHC074099,334,27
GGOEGOCB017499,319,26
GGOEGOCC077999,290,24
GGOEGFYQ016599,253,21
GGOEGOCB078299,250,20
GGOEGHPJ080310,189,15
GGOEADHH073999,167,13
GGOEGAAX0037,146,12
GGOENEBQ078999,112,9
GGOEGOAB022499,105,8
GGOEGAAX0098,104,8
GGOENEBB078899,102,8
GGOEGDHQ015399,97,8
GGOENEBJ079499,94,7
GGOEYOCR077799,85,7
GGOEGAAX0781,82,6
GGOEGBMJ013399,70,5
GGOEGOLC013299,69,5
GGOEGBJL013999,62,5
GGOEGCBQ016499,60,5
GGOEGETB023799,56,4
GGOEGFKA022299,53,4
GGOEGPJC019099,52,4
GGOEYDHJ056099,50,4
GGOEGOAB021499,48,4
GGOEGBJC019999,43,3
GGOENEBQ079199,42,3
GGOEGAAX0081,42,3
GGOEGAAX0074,40,3
GGOEGODR017799,39,3
GGOEGOCD078399,39,3
GGOEGHGC019799,35,2
GGOEGFKQ020799,34,2
GGOEGKAA019299,34,2
GGOEGOXQ016399,33,2
GGOEGOCR017899,30,2
GGOEYAAJ033014,30,2
GGOEYFKQ020699,30,2
GGOEGHGR019499,26,2
GGOEGEHQ024099,25,2
GGOENEBQ079099,24,2
GGOEGDHC018299,23,1
GGOEGOAQ020099,22,1
GGOEGAAJ032816,22,1
GGOEGAAX0330,20,1
GGOEGAAX0620,20,1
GGOEGOCL077699,20,1
GGOEGOCC077299,19,1
GGOEGAAL010616,19,1
GGOEAFKQ020499,19,1
GGOEGAEJ031315,18,1
GGOEGAAQ010414,17,1
GGOEGESC014099,16,1
GGOEGAAR010715,16,1
GGOEGALB034113,16,1
GGOEAKDH019899,16,1
GGOEGDHR018499,16,1
GGOEGAAX0104,15,1
GGOEA0CH077599,15,1
GGOEGPJC203399,14,1
GGOEGHGT019599,14,1
GGOEGHGH019699,14,1
GGOEGAAX0106,13,1
GGOEGBPB021199,13,1
GGOEGFKQ020399,13,1
GGOEGOFH020299,12,1
GGOEGAAL010614,12,1
GGOEGAAQ010415,11,0
GGOEGESB015099,11,0
GGOEGAAX0313,11,0
GGOEGBRJ037399,11,0
GGOEAFKQ020599,11,0
GGOEYAAJ033015,11,0
GGOEGFAQ016699,11,0
GGOEGAAQ010413,10,0
GGOEGESQ016799,10,0
GGOEGAAL010613,10,0
GGOEGDHC015299,10,0
GGOENEBD084799,10,0
GGOEYHPB072210,9,0
GGOEGAAB033815,9,0
GGOEGAEJ031314,9,0
GGOEGCNB021099,9,0
GGOEAAEJ033413,8,0
GGOENEBJ081899,8,0
GGOEGAAJ080615,8,0
GGOEGAYB068026,8,0
GGOEGALB036514,8,0
GGOEGAAJ032716,8,0
GGOEGAAX0318,8,0
GGOEGAEJ028013,8,0
GGOEAAEJ033414,8,0
GGOENEBQ084699,7,0
GGOEGAAX0795,7,0
GGOEGAAX0690,7,0
GGOEGALB034114,7,0
GGOEGKWR060810,7,0
GGOEGHPB080410,7,0
GGOEGALQ036616,7,0
GGOEGATB060213,7,0
GGOEAAWJ062548,7,0
GGOEGKWQ060910,7,0
GGOEGAWR061848,7,0
GGOEGALL074614,6,0
GGOEGAAX0617,6,0
GGOEAAEJ033415,6,0
GGOEGAAX0364,6,0
GGOEWFKA082999,6,0
GGOEGAAX0325,6,0
GGOEGAAJ032614,6,0
GGOEGOBC078699,6,0
GGOEGCKQ013199,6,0
GGOEAAAQ032013,6,0
GGOEGAAJ032313,6,0
GGOEGAAX0341,6,0
GGOEGAAB010514,6,0
GGOEGAEJ028015,6,0
GGOEGAAJ032616,6,0
GGOEGAAX0671,6,0
GGOEGGCX056299,5,0
GGOEWFKA083199,5,0
GGOEGCMB020932,5,0
GGOEGAXQ067129,5,0
GGOEGALQ034213,5,0
GGOEGAYQ069025,5,0
GGOEGDWR015799,5,0
GGOEGCBC074299,5,0
GGOEGXXX0806,5,0
GGOEAXXX0808,5,0
GGOEGAAX0680,5,0
GGOEYAAJ032515,5,0
GGOEGAER029713,5,0
GGOEGFQB013799,5,0
GGOEGBRA037499,5,0
GGOEAAEJ035714,5,0
GGOEAAEH035213,4,0
GGOEAAAJ080814,4,0
GGOEGAFB035814,4,0
GGOEGAAX0299,4,0
GGOEGADJ056814,4,0
GGOEGAAJ032613,4,0
GGOEAAWT061748,4,0
GGOEGAYB068025,4,0
GGOEWEBB082699,4,0
GGOEGALB034117,4,0
GGOEGALB036515,4,0
GGOEGALB034115,4,0
GGOENEBB081499,4,0
GGOEGAEQ027915,4,0
GGOEGAXQ067155,4,0
GGOEGAAX0342,4,0
GGOEGAFB035817,4,0
GGOEGAAX0279,4,0
GGOEGEVA022399,4,0
GGOEGAAJ032815,4,0
GGOEGALB036516,4,0
GGOEGAAX0105,4,0
GGOEGAWQ062250,3,0
GGOEGAAX0591,3,0
GGOEGBJC014399,3,0
GGOEGAAX0278,3,0
GGOEGALQ034215,3,0
GGOEGAAX0682,3,0
GGOEGOAQ018099,3,0
GGOEYAXR066128,3,0
GGOEGAAX0568,3,0
GGOEGAAX0358,3,0
GGOEGAAX0651,3,0
GGOEGOBG023599,3,0
GGOEGAXJ065555,3,0
GGOEGAYB068056,3,0
GGOEACCQ017299,3,0
GGOEAAEH035215,3,0
GGOEGBRJ037299,3,0
GGOEAAAP081214,3,0
GGOEYAFB073113,3,0
GGOEGHPB071610,3,0
GGOEGGOA017399,3,0
GGOEGAYB068024,3,0
GGOEGAFB035816,3,0
GGOEGATB060214,3,0
GGOEGAAX0619,3,0
